Id,Customer,Timestamp,Ordered,Shipwith,@metadata.@collection
Orders/0000000000000122202-A,Customer/0000000000000001590-A,1568208225,"[{""Product"":""product/wardrobe"",""Quantity"":26,""Discount"":4},{""Product"":""product/table"",""Quantity"":78,""Discount"":0},{""Product"":""product/chair"",""Quantity"":74,""Discount"":0},{""Product"":""product/bed"",""Quantity"":72,""Discount"":1}]",shippers/s-02,Orders
Orders/0000000000000122204-A,Customer/0000000000000001590-A,1584786130,"[{""Product"":""product/wardrobe"",""Quantity"":92,""Discount"":5},{""Product"":""product/chair"",""Quantity"":30,""Discount"":1}]",shippers/s-01,Orders
Orders/0000000000000122206-A,Customer/0000000000000001590-A,1523774654,"[{""Product"":""product/table"",""Quantity"":53,""Discount"":1},{""Product"":""product/chair"",""Quantity"":47,""Discount"":2},{""Product"":""product/bed"",""Quantity"":98,""Discount"":1}]",shippers/s-04,Orders
Orders/0000000000000122208-A,Customer/0000000000000001590-A,1594372579,"[{""Product"":""product/bed"",""Quantity"":98,""Discount"":3}]",shippers/s-04,Orders
Orders/0000000000000122210-A,Customer/0000000000000001590-A,1527598964,"[{""Product"":""product/bed"",""Quantity"":28,""Discount"":2},{""Product"":""product/chair"",""Quantity"":50,""Discount"":1},{""Product"":""product/chair_wood"",""Quantity"":23,""Discount"":5}]",shippers/s-01,Orders
Orders/0000000000000122212-A,Customer/0000000000000001590-A,1603692447,"[{""Product"":""product/chair_wood"",""Quantity"":44,""Discount"":1}]",shippers/s-02,Orders
Orders/0000000000000122214-A,Customer/0000000000000001590-A,1593510639,"[{""Product"":""product/table"",""Quantity"":3,""Discount"":4},{""Product"":""product/bed"",""Quantity"":13,""Discount"":0}]",shippers/s-02,Orders
Orders/0000000000000122216-A,Customer/0000000000000001590-A,1630902201,"[{""Product"":""product/wardrobe"",""Quantity"":68,""Discount"":5},{""Product"":""product/chair"",""Quantity"":69,""Discount"":4},{""Product"":""product/chair_wood"",""Quantity"":8,""Discount"":2}]",shippers/s-03,Orders
Orders/0000000000000122218-A,Customer/0000000000000001590-A,1611708100,"[{""Product"":""product/chair_wood"",""Quantity"":78,""Discount"":4},{""Product"":""product/chair"",""Quantity"":12,""Discount"":2},{""Product"":""product/bed"",""Quantity"":50,""Discount"":5}]",shippers/s-01,Orders
Orders/0000000000000122220-A,Customer/0000000000000001590-A,1582703371,"[{""Product"":""product/table"",""Quantity"":99,""Discount"":3},{""Product"":""product/chair"",""Quantity"":57,""Discount"":3}]",shippers/s-02,Orders
Orders/0000000000000122222-A,Customer/0000000000000001590-A,1594863577,"[{""Product"":""product/table"",""Quantity"":2,""Discount"":1}]",shippers/s-03,Orders
Orders/0000000000000122224-A,Customer/0000000000000001590-A,1606991823,"[{""Product"":""product/wardrobe"",""Quantity"":84,""Discount"":3},{""Product"":""product/table"",""Quantity"":85,""Discount"":2},{""Product"":""product/chair"",""Quantity"":92,""Discount"":0},{""Product"":""product/bed"",""Quantity"":66,""Discount"":5}]",shippers/s-01,Orders
