Id,Customer,Timestamp,Ordered,Shipwith,Collection
Orders/o-01,customer/c-01,1574780307,"[{""Product"":""product/chair_wood"", ""Quantity"":92, ""Discount"":4}, {""Product"":""product/chair"", ""Quantity"":50, ""Discount"":3}, {""Product"":""product/wardrobe"", ""Quantity"":62, ""Discount"":4}]",shippers/s-01,Orders
Orders/o-02,customer/c-01,1552155462,"[{""Product"":""product/chair_wood"", ""Quantity"":99, ""Discount"":2}, {""Product"":""product/chair"", ""Quantity"":31, ""Discount"":3}]",shippers/s-04,Orders
Orders/o-03,customer/c-01,1676606767,"[{""Product"":""product/table"", ""Quantity"":66, ""Discount"":0}, {""Product"":""product/chair"", ""Quantity"":48, ""Discount"":0}, {""Product"":""product/wardrobe"", ""Quantity"":74, ""Discount"":4}]",shippers/s-02,Orders
Orders/o-04,customer/c-01,1587032117,"[{""Product"":""product/wardrobe"", ""Quantity"":30, ""Discount"":1}, {""Product"":""product/chair"", ""Quantity"":1, ""Discount"":2}]",shippers/s-01,Orders
Orders/o-05,customer/c-01,1572274443,"[{""Product"":""product/bed"", ""Quantity"":61, ""Discount"":3}, {""Product"":""product/table"", ""Quantity"":97, ""Discount"":0}]",shippers/s-02,Orders
Orders/o-06,customer/c-01,1570474635,"[{""Product"":""product/wardrobe"", ""Quantity"":90, ""Discount"":4}, {""Product"":""product/chair"", ""Quantity"":31, ""Discount"":3}]",shippers/s-02,Orders
Orders/o-07,customer/c-01,1645774276,"[{""Product"":""product/bed"", ""Quantity"":86, ""Discount"":2}, {""Product"":""product/table"", ""Quantity"":98, ""Discount"":5}]",shippers/s-01,Orders
Orders/o-08,customer/c-01,1624169877,"[{""Product"":""product/chair"", ""Quantity"":31, ""Discount"":5}]",shippers/s-04,Orders
Orders/o-09,customer/c-01,1569705819,"[{""Product"":""product/bed"", ""Quantity"":41, ""Discount"":2}, {""Product"":""product/chair_wood"", ""Quantity"":67, ""Discount"":5}, {""Product"":""product/chair"", ""Quantity"":99, ""Discount"":1}]",shippers/s-04,Orders
Orders/o-10,customer/c-01,1592802079,"[{""Product"":""product/wardrobe"", ""Quantity"":42, ""Discount"":0}, {""Product"":""product/chair"", ""Quantity"":54, ""Discount"":0}]",shippers/s-03,Orders
Orders/o-11,customer/c-01,1672942292,"[{""Product"":""product/bed"", ""Quantity"":42, ""Discount"":4}, {""Product"":""product/chair"", ""Quantity"":49, ""Discount"":2}]",shippers/s-03,Orders
Orders/o-12,customer/c-01,1525066606,"[{""Product"":""product/wardrobe"", ""Quantity"":76, ""Discount"":5}, {""Product"":""product/table"", ""Quantity"":88, ""Discount"":5}]",shippers/s-01,Orders
Orders/o-13,customer/c-01,1557825958,"[{""Product"":""product/chair_wood"", ""Quantity"":74, ""Discount"":3}, {""Product"":""product/table"", ""Quantity"":44, ""Discount"":4}, {""Product"":""product/wardrobe"", ""Quantity"":13, ""Discount"":5}]",shippers/s-03,Orders
Orders/o-14,customer/c-01,1558337640,"[{""Product"":""product/bed"", ""Quantity"":68, ""Discount"":4}, {""Product"":""product/table"", ""Quantity"":61, ""Discount"":0}]",shippers/s-02,Orders
Orders/o-15,customer/c-01,1524425462,"[{""Product"":""product/wardrobe"", ""Quantity"":89, ""Discount"":4}]",shippers/s-03,Orders
Orders/o-16,customer/c-01,1522976267,"[{""Product"":""product/wardrobe"", ""Quantity"":86, ""Discount"":1}]",shippers/s-02,Orders
Orders/o-17,customer/c-01,1560359865,"[{""Product"":""product/bed"", ""Quantity"":89, ""Discount"":5}, {""Product"":""product/table"", ""Quantity"":63, ""Discount"":1}, {""Product"":""product/wardrobe"", ""Quantity"":38, ""Discount"":1}]",shippers/s-04,Orders
Orders/o-18,customer/c-01,1565788920,"[{""Product"":""product/table"", ""Quantity"":45, ""Discount"":5}, {""Product"":""product/chair"", ""Quantity"":22, ""Discount"":0}, {""Product"":""product/chair_wood"", ""Quantity"":34, ""Discount"":1}]",shippers/s-01,Orders
Orders/o-19,customer/c-01,1528529212,"[{""Product"":""product/bed"", ""Quantity"":42, ""Discount"":1}]",shippers/s-03,Orders
Orders/o-20,customer/c-01,1612100866,"[{""Product"":""product/bed"", ""Quantity"":50, ""Discount"":1}, {""Product"":""product/wardrobe"", ""Quantity"":47, ""Discount"":0}, {""Product"":""product/chair_wood"", ""Quantity"":46, ""Discount"":3}]",shippers/s-02,Orders
Orders/o-21,customer/c-01,1653742342,"[{""Product"":""product/bed"", ""Quantity"":44, ""Discount"":1}, {""Product"":""product/chair_wood"", ""Quantity"":29, ""Discount"":0}]",shippers/s-02,Orders
Orders/o-22,customer/c-01,1659512011,"[{""Product"":""product/table"", ""Quantity"":11, ""Discount"":1}]",shippers/s-03,Orders
Orders/o-23,customer/c-01,1554766374,"[{""Product"":""product/wardrobe"", ""Quantity"":88, ""Discount"":5}, {""Product"":""product/table"", ""Quantity"":17, ""Discount"":5}]",shippers/s-02,Orders
Orders/o-24,customer/c-01,1533007712,"[{""Product"":""product/wardrobe"", ""Quantity"":69, ""Discount"":1}, {""Product"":""product/table"", ""Quantity"":75, ""Discount"":0}]",shippers/s-01,Orders
Orders/o-25,customer/c-01,1558664016,"[{""Product"":""product/wardrobe"", ""Quantity"":13, ""Discount"":0}, {""Product"":""product/chair_wood"", ""Quantity"":5, ""Discount"":5}, {""Product"":""product/chair"", ""Quantity"":41, ""Discount"":4}]",shippers/s-04,Orders
Orders/o-26,customer/c-01,1608072993,"[{""Product"":""product/bed"", ""Quantity"":67, ""Discount"":4}, {""Product"":""product/wardrobe"", ""Quantity"":39, ""Discount"":3}, {""Product"":""product/chair"", ""Quantity"":43, ""Discount"":4}]",shippers/s-03,Orders
Orders/o-27,customer/c-01,1636023175,"[{""Product"":""product/chair_wood"", ""Quantity"":50, ""Discount"":2}, {""Product"":""product/chair"", ""Quantity"":37, ""Discount"":3}, {""Product"":""product/wardrobe"", ""Quantity"":45, ""Discount"":1}]",shippers/s-01,Orders
Orders/o-28,customer/c-01,1651879738,"[{""Product"":""product/bed"", ""Quantity"":6, ""Discount"":4}, {""Product"":""product/wardrobe"", ""Quantity"":53, ""Discount"":1}, {""Product"":""product/table"", ""Quantity"":95, ""Discount"":0}, {""Product"":""product/chair"", ""Quantity"":24, ""Discount"":3}]",shippers/s-03,Orders
